Field,Description
AssessmentYear,Year of issue of the data call
ChangesFromPreviousYear,Y/N Indication of any changes to the data call requirements compared to the previous data call
DataYear,Data year
ExpertGroup,Expert Group name
AphiaID,AphiaID
FAOspp,FAO species code
StockKeyLabel,Stock key
CountriesRequiredToSubmit,List of countries required to submit data towards this data call
subStockSpecificRequestType,"If the data request for a component of the stock is different to the rest of the stock, this field indicates the type of sub-stock request, e.g. Area (e.g. cod/27.22-24, or her.27.3a47d), Depth (e.g. reb.2127.dp), StockUnits (e.g. sal.27.22-31)"
subStockSpecificRequest,"If the data request for a component of the stock is different to the rest of the stock, this field indicates the sub-stock component to which the request pertains. A separate row would be used for each sub-stock component.  e.g. Area for her.27.3a47d: one row would be used for 27.3;27.7d because the area reporting is the standard ICES areas. A separate row would be used for 27.4.a because area 4a is split into East and West components. The definition for this would be contained in the field 'AreaDefinition' "
Category,"Catch category for the data request: Lan, Dis, BMS, RecreationalCatch. One catch category per row"
CatchWeight,"This field will only have a value if the catch weight is required. The letter indicates the requested  temporal level: A - annual; Q - quarter, M - month"
LengthComp,"This field will only have a value if a length composition is required. The letter indicates the requested  temporal level: A - annual; Q - quarter, M - month"
AgeComp,"This field will only have a value if an age composition is required. The letter indicates the requested  temporal level: A - annual; Q - quarter, M - month"
meanWtLen,"This field will only have a value if mean weight at length is required. The letter indicates the requested  temporal level: A - annual; Q - quarter, M - month"
meanWtAge,"This field will only have a value if mean weight at age is required. The letter indicates the requested  temporal level: A - annual; Q - quarter, M - month"
meanLenAge,"This field will only have a value if mean length at age is required. The letter indicates the requested  temporal level: A - annual; Q - quarter, M - month"
LogBRegDis,"This field will only have a value if logbook registered discard weight is required. The letter indicates the requested  temporal level: A - annual; Q - quarter, M - month"
WtRect,"This field will only have a value if landed weight by rectangle is required. The letter indicates the requested  temporal level: A - annual; Q - quarter, M - month"
SexualMaturityData,"This field will only have a value if sexual maturity is required. The letter could either indicate the requested  temporal level: A - annual; Q - quarter, M - month, Or simply indicate a Y or N"
SexRatio,"This field will only have a value if sex ratio is required. The letter could either indicate the requested  temporal level: A - annual; Q - quarter, M - month, Or simply indicate a Y or N"
DataBySex,"This field will only have a value if sex ratio is required. The letter could either indicate the requested  temporal level: A - annual; Q - quarter, M - month, Or simply indicate a Y or N"
ALK,"This field will only have a value if an ALK is required. The letter could either indicate the requested  temporal level: A - annual; Q - quarter, M - month, Or simply indicate a Y or N"
agePlusGroup,"This provides the age for the age plus group, e.g. 15 for mac.27.nea"
Effort,"This field will only have a value if effort is required. The letter indicates the requested  temporal level: A - annual; Q - quarter, M - month."
EffortUnits,Effort Units
Fleet_Metier,"This field is intended to link to a vocabulary or table that contains the required fleet name or metier vocabulary required for that stock. e.g. link to the metier5 vocab, or the metier6 vocab, or to a fleet list (a version of the fleet table that used to be in Annex 1, which has been reformatted: Revised_DC_Annex_1_fleet_table.csv) "
AreaDefinition,"This field is intended to provide information for an area request that deviates from the usual ICES areas, e.g. a link to the rectangles used to define 4aE and 4aW for her.27.3a47d, or the rectangles for the cod.27.46a7d20 regions. 'ICES_Area' indicates the usual ICES areas are to be used, but could link to the vocabulary."
AdditionalOutputFormat,"This field indicates if there is an addditional data request, e.g. the DC_Annex_WGNSSK1 cod.27.46a7d20 template"
LengthMeasurementType?,"As the CEF format requires the length measurement type to be defined, this field could indicate what length measurment type is required or preferred for the stock assessment"
