FleetName,Description,ExpertGroup
Bottom trawl                                                ,,AFWG
Gillnet                                                     ,,AFWG
Lines and Danish seine (Norway),,AFWG
Longline                                                    ,,AFWG
Other                                                       ,,AFWG
Pelagic trawl                                               ,,AFWG
Purse seine                                                 ,,AFWG
Active                                                      ,,WGBFAS
Gillnet                                                     ,,WGBFAS
Longline                                                    ,,WGBFAS
Passive                                                     ,,WGBFAS
Trapnet                                                     ,,WGBFAS
FPO_CRU_0_0_0_all,,WGBIE
GNS_DEF_>=100_0_0,,WGBIE
GNS_DEF_>=220_0_0_all,,WGBIE
GNS_DEF_>=220_0_0_all_FDF,,WGBIE
GNS_DEF_100-119_0_0_all,,WGBIE
GNS_DEF_120-219_0_0_all,,WGBIE
GNS_DEF_120-219_0_0_all_FDF,,WGBIE
GNS_DEF_60-79_0_0,,WGBIE
GNS_DEF_80-99_0_0,,WGBIE
GNS_DEF_all_0_0_all,,WGBIE
GTR_DEF_60-79_0_0,,WGBIE
GTR_DEF_all_0_0_all,,WGBIE
LLS_DEF_0_0_0,,WGBIE
LLS_DEF_0_0_0_all,,WGBIE
LLS_FIF_0_0_0_all,,WGBIE
MIS_MIS_0_0_0,,WGBIE
MIS_MIS_0_0_0_HC,,WGBIE
MIS_MIS_0_0_0_IBC,,WGBIE
OTB,,WGBIE
OTB_CRU_>=70_0_0,,WGBIE
OTB_CRU_100-119_0_0_all,,WGBIE
OTB_CRU_32-69_0_0_all,,WGBIE
OTB_CRU_32-69_2_22_all,,WGBIE
OTB_CRU_70-89_2_35_all,,WGBIE
OTB_CRU_70-99_0_0_all,,WGBIE
OTB_CRU_90-119_0_0_all,,WGBIE
OTB_CRU_90-119_0_0_all_FDF,,WGBIE
OTB_DEF_>=120_0_0_all,,WGBIE
OTB_DEF_>=120_0_0_all_FDF,,WGBIE
OTB_DEF_>=55_0_0,,WGBIE
OTB_DEF_>=70_0_0,,WGBIE
OTB_DEF_100-119_0_0,,WGBIE
OTB_DEF_100-119_0_0_all,,WGBIE
OTB_DEF_70-99_0_0,,WGBIE
OTB_DEF_70-99_0_0_all,,WGBIE
OTB_MCD_>=55_0_0,,WGBIE
OTB_MCF_>=70_0_0,,WGBIE
OTB_MOL_70-99_0_0_all,,WGBIE
OTB_MPD_>=55_0_0,,WGBIE
OTB_SPF_32-69_0_0_all,,WGBIE
OTM_DEF_100-119_0_0_all,,WGBIE
OTM_SPF_32-69_0_0_all,,WGBIE
PS_SPF_0_0_0,,WGBIE
PTB_DEF_>=70_0_0,,WGBIE
PTB_MPD_>=55_0_0,,WGBIE
PTM_DEF_90-104_0_0,,WGBIE
